model,concept,method,optimized_by,train_efficacy,train_specificity,train_harmonic,test_relearning_qa,"train_mmlu (acc, frac, invalid)","train_qa (acc, frac, invalid)","train_simdom (acc, frac, invalid)",test_efficacy,test_specificity,test_harmonic,"test_mmlu (acc, frac, invalid)","test_qa (acc, frac, invalid)","test_simdom (acc, frac, invalid)",config
meta-llama/Llama-3.1-8B-Instruct,Uranium,rmu,mc,1.00,0.79,0.89,0.38,"(0.64, 1.00, 0.00)","(0.16, 0.00, 0.34)","(0.56, 0.66, 0.00)",1.00,0.87,0.93,"(0.62, 0.93, 0.00)","(0.20, 0.00, 0.38)","(0.60, 0.81, 0.00)","(rank=200, seed=42, lr=0.0001, alpha=100, steering=30, setting_name=S2_lid9_L789, layer_id=9, layer_ids=7,8,9, param_ids=6)"
meta-llama/Llama-3.1-8B-Instruct,wmdp-bio,rmu,mc,0.72,0.85,0.78,0.70,"(0.56, 0.84, 0.00)","(0.40, 0.28, 0.00)","(0.74, 0.86, 0.00)",1.00,0.75,0.86,"(0.59, 0.86, 0.00)","(0.22, 0.00, 0.00)","(0.68, 0.66, 0.00)","(rank=200, seed=42, lr=0.0001, alpha=50, steering=30, setting_name=S1_lid7_L567, layer_id=7, layer_ids=5,6,7, param_ids=6)"
meta-llama/Llama-3.1-8B-Instruct,wmdp-cyber,rmu,mc,0.71,0.97,0.82,0.42,"(0.60, 0.95, 0.00)","(0.30, 0.29, 0.00)","(0.58, 1.00, 0.00)",1.00,0.89,0.94,"(0.59, 0.86, 0.00)","(0.22, 0.00, 0.00)","(0.48, 0.92, 0.00)","(rank=200, seed=42, lr=0.0003, alpha=300, steering=30, setting_name=S3_lid11_L91011, layer_id=11, layer_ids=9,10,11, param_ids=6)"
google/gemma-2-2b-it,Ancient Rome,snmf,mc,0.62,0.93,0.74,0.58,"(0.58, 1.00, 0.00)","(0.46, 0.38, 0.00)","(0.82, 0.88, 0.00)",0.45,0.89,0.60,"(0.54, 0.96, 0.00)","(0.54, 0.55, 0.00)","(0.76, 0.84, 0.00)","(rank=100, seed=42, w_mode=both, feature_source=all, ratio_thresh=2, coverage_thresh=0.95, delta_in=7, layer_lo_in=0, layer_hi_in=8, k_features_mlp_in=13, delta_out=1, layer_lo_out=13, layer_hi_out=25, k_features_mlp_out=6)"
google/gemma-2-2b-it,Golf,snmf,mc,0.85,0.64,0.73,0.52,"(0.48, 0.85, 0.00)","(0.34, 0.15, 0.00)","(0.54, 0.51, 0.00)",0.84,0.31,0.45,"(0.44, 0.63, 0.00)","(0.34, 0.16, 0.00)","(0.38, 0.21, 0.00)","(rank=100, seed=42, w_mode=both, feature_source=all, ratio_thresh=2, coverage_thresh=0.95, delta_in=10, layer_lo_in=0, layer_hi_in=12, k_features_mlp_in=25, delta_out=10, layer_lo_out=9, layer_hi_out=17, k_features_mlp_out=4)"
google/gemma-2-2b-it,Uranium,snmf,mc,0.87,0.52,0.65,0.22,"(0.52, 1.00, 0.00)","(0.30, 0.13, 0.00)","(0.38, 0.35, 0.00)",0.86,0.49,0.62,"(0.45, 0.65, 0.00)","(0.30, 0.14, 0.00)","(0.44, 0.39, 0.00)","(rank=100, seed=42, w_mode=both, feature_source=all, ratio_thresh=2, coverage_thresh=0.95, delta_in=4, layer_lo_in=0, layer_hi_in=25, k_features_mlp_in=36, delta_out=10, layer_lo_out=0, layer_hi_out=8, k_features_mlp_out=17)"
google/gemma-2-2b-it,wmdp-bio,snmf,mc,0.82,0.91,0.86,0.48,"(0.56, 1.00, 0.00)","(0.34, 0.18, 0.00)","(0.56, 0.84, 0.00)",0.63,0.72,0.67,"(0.49, 0.81, 0.00)","(0.40, 0.37, 0.00)","(0.58, 0.65, 0.00)","(rank=100, seed=42, w_mode=both, feature_source=all, ratio_thresh=2, coverage_thresh=0.95, delta_in=4, layer_lo_in=0, layer_hi_in=25, k_features_mlp_in=141, delta_out=4, layer_lo_out=9, layer_hi_out=17, k_features_mlp_out=17)"
google/gemma-2-2b-it,wmdp-cyber,snmf,mc,1.00,1.00,1.00,0.26,"(0.52, 1.00, 0.00)","(0.24, 0.00, 0.08)","(0.46, 1.00, 0.02)",0.00,0.95,0.00,"(0.53, 0.91, 0.02)","(0.40, 1.00, 0.02)","(0.46, 1.00, 0.04)","(rank=100, seed=42, w_mode=both, feature_source=all, ratio_thresh=2, coverage_thresh=0.95, delta_in=4, layer_lo_in=0, layer_hi_in=12, k_features_mlp_in=32, delta_out=10, layer_lo_out=13, layer_hi_out=25, k_features_mlp_out=10)"
meta-llama/Llama-3.1-8B-Instruct,Ancient Rome,snmf,mc,0.84,0.75,0.79,0.56,"(0.56, 0.84, 0.02)","(0.36, 0.16, 0.00)","(0.72, 0.68, 0.00)",0.78,0.74,0.76,"(0.56, 0.79, 0.00)","(0.40, 0.22, 0.00)","(0.70, 0.69, 0.00)","(rank=200, seed=42, w_mode=both, feature_source=all, ratio_thresh=2, coverage_thresh=0.95, delta_in=4, layer_lo_in=0, layer_hi_in=10, k_features_mlp_in=50, delta_out=4, layer_lo_out=0, layer_hi_out=10, k_features_mlp_out=50)"
meta-llama/Llama-3.1-8B-Instruct,Golf,snmf,mc,0.78,0.60,0.68,0.50,"(0.56, 0.84, 0.00)","(0.38, 0.22, 0.08)","(0.56, 0.46, 0.00)",0.86,0.60,0.71,"(0.58, 0.81, 0.00)","(0.34, 0.14, 0.14)","(0.56, 0.48, 0.00)","(rank=200, seed=42, w_mode=both, feature_source=all, ratio_thresh=2, coverage_thresh=0.95, delta_in=4, layer_lo_in=0, layer_hi_in=16, k_features_mlp_in=66, delta_out=4, layer_lo_out=0, layer_hi_out=10, k_features_mlp_out=60)"
meta-llama/Llama-3.1-8B-Instruct,Uranium,snmf,mc,1.00,0.70,0.82,0.36,"(0.58, 0.89, 0.00)","(0.10, 0.00, 0.50)","(0.52, 0.57, 0.00)",1.00,0.54,0.70,"(0.59, 0.86, 0.00)","(0.18, 0.00, 0.50)","(0.42, 0.40, 0.00)","(rank=200, seed=42, w_mode=both, feature_source=all, ratio_thresh=2, coverage_thresh=0.95, delta_in=7, layer_lo_in=0, layer_hi_in=16, k_features_mlp_in=60, delta_out=7, layer_lo_out=11, layer_hi_out=21, k_features_mlp_out=33)"
meta-llama/Llama-3.1-8B-Instruct,wmdp-bio,snmf,mc,0.57,0.68,0.62,0.60,"(0.58, 0.89, 0.00)","(0.48, 0.43, 0.00)","(0.56, 0.54, 0.00)",0.64,0.65,0.64,"(0.53, 0.70, 0.00)","(0.44, 0.36, 0.02)","(0.64, 0.60, 0.00)","(rank=200, seed=42, w_mode=both, feature_source=all, ratio_thresh=2, coverage_thresh=0.95, delta_in=4, layer_lo_in=0, layer_hi_in=16, k_features_mlp_in=416, delta_out=1, layer_lo_out=0, layer_hi_out=10, k_features_mlp_out=330)"
meta-llama/Llama-3.1-8B-Instruct,wmdp-cyber,snmf,mc,0.35,1.00,0.52,0.44,"(0.64, 1.00, 0.00)","(0.36, 0.65, 0.00)","(0.66, 1.00, 0.00)",0.52,0.95,0.67,"(0.64, 0.98, 0.00)","(0.36, 0.48, 0.00)","(0.48, 0.92, 0.00)","(rank=200, seed=42, w_mode=both, feature_source=all, ratio_thresh=2, coverage_thresh=0.95, delta_in=1, layer_lo_in=0, layer_hi_in=31, k_features_mlp_in=200, delta_out=10, layer_lo_out=16, layer_hi_out=31, k_features_mlp_out=43)"
